race_number,horse_number,horse_name,jockey,trainer,morning_line,early_speed,late_speed,dirt_starts,dirt_wins,synth_starts,synth_wins,turf_starts,turf_wins,distance_starts,distance_wins,hist1_date,hist1_type,hist1_class,hist1_beyer,hist1_first_call,hist1_last_call,hist2_date,hist2_type,hist2_class,hist2_beyer,hist2_first_call,hist2_last_call,hist3_date,hist3_type,hist3_class,hist3_beyer,hist3_first_call,hist3_last_call,hist4_date,hist4_type,hist4_class,hist4_beyer,hist4_first_call,hist4_last_call,hist5_date,hist5_type,hist5_class,hist5_beyer,hist5_first_call,hist5_last_call,hist6_date,hist6_type,hist6_class,hist6_beyer,hist6_first_call,hist6_last_call,hist7_date,hist7_type,hist7_class,hist7_beyer,hist7_first_call,hist7_last_call,hist8_date,hist8_type,hist8_class,hist8_beyer,hist8_first_call,hist8_last_call,hist9_date,hist9_type,hist9_class,hist9_beyer,hist9_first_call,hist9_last_call,hist10_date,hist10_type,hist10_class,hist10_beyer,hist10_first_call,hist10_last_call,hist11_date,hist11_type,hist11_class,hist11_beyer,hist11_first_call,hist11_last_call,hist12_date,hist12_type,hist12_class,hist12_beyer,hist12_first_call,hist12_last_call
1,1,TakerBack,DELACRUZW,Martin William,6-1,100.0,45.0,10,1,0.0,0.0,2,0,13,2,13July25,5^0.50f(c),3(older)(fillie)(Alw)30000sN1X,56,3,6^6.75,3May25,6f(s),3(older)(fillie)(Clm)c-15000N2L,65,2,1^1.25,4Apr25,6f,3(older)(fillie)(Clm)35000N2L,46,8,6^11.50,7Mar25,6f,3(older)(fillie)(Clm)35000N2L,57,3,2^1.75,17Feb25,6f(S),3(older)(fillie)(Md)25000(25-20),65,1,1^2.5,8Feb25,6f(C),3(older)(fillie)(Md)(Sp)(Wt)110k,41,3,5^16.50,19Jan25,6f(C),3(older)(fillie)(Md)(Sp)(Wt)110k,50,2,5^6,22Dec24,1,3(older)(fillie)(Md)(Sp)(Wt)110k,49,3^2,7^11,8Aug24,6f(C),(fillie)(Md)(Sp)(Wt)32k,58,3,2^7.25,21July24,6f,3(older)(fillie)(Md)30000,73,1,3^2,23June24,6f,3(older)(fillie)(Md)(Sp)(Wt)40k,49,2,2^2.75,8June24,5f(T),(fillie)(Md)(Sp)(Wt)32k,52,2,5^2
1,2,SweetMusic,CEDILLOA,Berndt Joel,4-1,103.0,59.0,10,4,0.0,0.0,3,0,6,2,14Dec25,6f(c),3(older)(fillie)(Alw)115000N1X,55,6,10^8.75,30Oct25,5^0.50f(T),3(older)(fillie)(OC)50k/C-N,29,9,8^13.75,30Sept25,6f(S),3(older)(fillie)(Alw)31400N4L,67,1,1^8,27Aug25,7f,3(older)(fillie)(OC)20k/N2X-N,71,4,1^5.5,26July25,6f,3(older)(fillie)(Alw)23500C,69,5,1^4.75,3July25,1(T),3(older)(fillie)(Alw)23500C,48,2^2,9^9.75,7June25,1(s),3(older)(fillie)(Alw)23500C,61,1^2,2^1.5,22May25,6f,3(older)(fillie)(Alw)34560N1X,50,5,7^9.25,1May25,6f,3(older)(fillie)(Alw)32000N1X,46,6,4^5,13Nov24,7f,(fillie)Ë(Md)(Sp)(Wt)94k,63,8,1^2,10Oct24,6f,(fillie)Ë(Md)(Sp)(Wt)78k,55,10,5^5.25,15Sept24,5^0.50f,(fillie)Ë(Md)(Sp)(Wt)95k,68,3,4^1.75
1,3,HighSummer,HERNANDEZI,Garci^5 Genaro,5-1,114.0,44.0,9,2,2.0,0.0,2,0,6,1,2Oct25,5^0.50f,3(older)(fillie)(Alw)47520N3L,61,4,3^4.25,20Sept25,6f(c),3(older)(fillie)(Alw)30000sN3L,53,3,6^7.75,25Aug25,5^0.50f,3(older)(fillie)(Alw)34000N2L,70,1,1^(nose),5Aug25,6f,(fillie)(Md)(Sp)(Wt)32k,67,4,1^(head),5July25,6f(C),(fillie)(Md)(Sp)(Wt)32k,59,5,2^3,7June25,5f(X),3(older)(fillie)(Md)(Sp)(Wt)32k,58,2,2^2.5,28May25,6f,(fillie)(Md)(Sp)(Wt)32k,62,2,2^(neck),6May25,1(X),3(older)(fillie)(Md)(Sp)(Wt)32k,59,1^2.5,2^1,16Apr25,5^0.50f,(fillie)(Md)(Sp)(Wt)32k,59,3,3^4.75,14Mar25,6f(A),(fillie)(Md)30000 (30-20),41,2,2^8.75,3Jan25,6f,(fillie)(Md)35000(35-30),26,6,^8,20Dec24,6^0.50f(A),(fillie)(Md)30000(30-20),20,2,7^14.50
1,4,Balladry,ESQUIVELE,Contreras Cipriano,10-1,77.0,51.0,12,2,1.0,0.0,0,0,10,1,22June25,6f,3(older)(fillie)(Clm)c-20000B,51,6,7^8,15May25,6^0.50f(s),3(older)(fillie)(Clm)c-20000B,59,3,2^4.5,22Apr25,6f,3(older)(fillie)(Clm)12500B,48,3,2^3.25,14Mar25,6f(A),3(older)(fillie)(Clm)15000(15-10)N3L,34,5,8^10,29Nov24,6f(C),3(older)(fillie)(Clm)50000B,59,2,8^9.25,13Nov24,6f,3(older)(fillie)(Clm)30000B,69,2,2^1.75,13Sept24,6f(c),3(older)(fillie)(Clm)30000B,51,2,8^10,29July24,6f,(fillie)(Alw)50000s N1X,66,5,5^6,21June24,6f(S),(fillie)(Clm)40000,79,3,1^4.25,31May24,6f,3(older)(fillie)(Clm)50000N2L,49,4,4^8.25,1May24,6^0.50f,(fillie)(Clm)40000,53,1,4^5.75,25Nov23,1(c),(fillie)(OC)100k/ N1X-N,23,3^1,^8
1,5,Tartaria,VAZQUEZRA,Amoss Thomas,7-2,56.0,75.0,9,2,1.0,0.0,2,0,9,2,4Dec25,6f(A)(c),3(older)(fillie)(Clm)40000,66,6,6^7,19Nov25,6f,3(older)(fillie)(Clm)c-20000B,49,3,5^3.75,30Oct25,6f,3(older)(fillie)(Clm)16000B,65,2,1^3.75,5Oct25,7f,3(older)(fillie)(Clm)20000B,44,1,5^15.25,13Sept25,6f,3(older)(fillie)(Clm)20000B,55,4,4^8.25,22July25,6f(C),3(older)(fillie)(OC)20k/N3L-N,62,6,1^1,8July25,1(s),3(older)(fillie)OC15k/SAL10k-N,55,1^1.5,3^1.75,27May25,6f,3(older)(fillie)(Clm)10000N2L,50,8,1^(nose),18Apr25,7f(s),3(older)(fillie)(Md)10000,56,2,1^2.75,21Mar25,6f(s),(fillie)(Md)15000,46,5,5^1,3Mar25,6f,(fillie)(Md)15000,46,6,5^4.5,8Feb25,6f,(fillie)(Md)15000,32,3,7^7.25
1,6,Quibble,BEJARANOR,Lauer Michael,20-1,43.0,87.0,6,0,0.0,0.0,1,0,1,0,15Oct25,1(S),3(older)(fillie)(state)(Alw)38000N1X,48,7^8.5,3^8,22Sept25,1,3(older)(fillie)(state)(Md)(Sp)(Wt)36k,50,6^11,1^5,28Aug25,1^0.0625,3(older)(fillie)(state)(Md)(Sp)(Wt)36k,40,6^4,4^3.75,10July25,1^70(s),3(older)(fillie)(state)(Md)(Sp)(Wt)36k,50,5^4,2^4,12June25,1(T),3(older)(fillie)(state)(Md)(Sp)(Wt)36k,34,11^10,8^8,15May25,6f(c),3(older)(fillie)(state)(Md)(Sp)(Wt)36k,48,10,3^5,30Apr25,5^0.50f,(fillie)(state)(Md)(Sp)(Wt)36k,50,11,3^2.5,1Aug24,5f,(fillie)(state)(Md)(Sp)(Wt)36k,7,11,10^13.75,5July24,5f,(fillie)(state)(Md)(Sp)(Wt)36k,-0,12,12^31.75,,,,,,,,,,,,,,,,,,
1,7,Payton'sBeauty,HARRK,Cline Robert,15-1,91.0,62.0,7,1,0.0,0.0,2,0,7,0,6Aug25,1,3(older)(fillie)(OC)20k/N2X-N,49,2^1,5^16,10July25,1(S),3(older)(fillie)(Alw)24075C,58,1^0.50,1^10,14June25,1,3(older)(fillie)(Md)(Sp)(Wt)23k,57,1^1,1^3,26May25,7^0.50f(T),3(older)(fillie)(Md)(Sp)(Wt)23k,57,4,3^2,26Apr25,6f,(fillie)(Md)30000,53,12,4^3.75,23Mar25,6f,(fillie)(Md)35000,51,9,3^7.5,9Mar25,6f,(fillie)(Md)30000,50,8,2^2.5,2Feb25,6f,(fillie)(Md)30000,42,8,4^7.25,3Jan25,6f,(fillie)(Md)30000(35-30),42,7,7^9,15Dec24,6f,(fillie)(Md)(Sp)(Wt)110k,31,7,^8,25Sept24,1(T)(S),(fillie)(Md)(Sp)(Wt)30k,11,6^2.75,5^13.50,12Sept24,6f,(fillie)(Md)(Sp)(Wt)29k,24,8,3^7.25
1,8,Miwoman,BEALMEARJC,Riecken Bruce,15-1,64.0,83.0,8,1,0.0,0.0,2,0,2,0,20Sept25,1,3(older)(fillie)(OC)12k/N1X-N,70,6^3,1^(head),3Sept25,6f(S),3(older)(fillie)(Alw)24410C,43,2,3^0.75,9Aug25,1(X),3(older)(fillie)(Alw)23500C,56,5^5.5,3^9.5,26July25,6f,3(older)(fillie)(Alw)23500C,57,3,3^4.75,10July25,1(S),3(older)(fillie)(Alw)24075C,36,4^3.5,4^13.25,7June25,1(s),3(older)(fillie)(Alw)23500C,50,5^6,4^8.5,12Sept24,1(S),3(older)(fillie)(OC)12k/N1X-N,60,4^4.5,3^4.25,17Aug24,7^0.50f(T)(S),3(older)(fillie)(Alw)30000C,58,7,6^9.75,22June24,1,3(older)(fillie)(Alw)30000C,63,5^2,2^(neck),2June24,1^70(T),3(older)(fillie)(Alw)30660C,50,10^7.75,9^10,26Apr24,1^0.0625(s),(fillie)(OC)100k/ N1X,71,4^2.5,2^2.5,29Mar24,1^0.0625,(fillie)(OC)125k/ N1X,66,9^6.25,7^7
1,9,WellAware,BACONTW,Hartman Chris,12-1,83.0,75.0,4,1,1.0,0.0,2,0,1,0,4Dec25,1(A),3(older)(fillie)(Clm)30000(30-20)N3L,49,8^7,7^13.75,16Nov25,1^0.0625,3(older)(fillie)(Clm)20000N2L,64,3^1.5,1^3,19Oct25,7fC,3(older)(fillie)(Md)20000,59,3,1^1,21Sept25,6f,3(older)(fillie)(Md)20000,54,4,5^6.5,23Aug25,5^0.50f(T),3(older)(fillie)(Md)(Sp)(Wt)100k,45,4,9^1,29Apr25,6^0.50f,3(older)(fillie)(Md)50000,49,2,4^8.5,26Mar25,6^0.50f,(fillie)(Md)35000,61,2,2^0.75,4Aug24,7f,(fillie)Moc 50000N,48,2,3^5.5,24June24,7^0.50f(T),(fillie)(Md)(Sp)(Wt)32k,17,10,6^17.25,,,,,,,,,,,,,,,,,,
1,10,MyBossyLady,ROSADOJ,Ortiz John,3-1,80.0,66.0,8,3,0.0,0.0,0,0,7,2,12July25,6f,3(older)(fillie)(Clm)c-30000B,61,2,3^4.75,22June25,6f,3(older)(fillie)(Clm)c-20000B,69,2,1^(head),17May25,1^0.0625(s),3(older)(fillie)(Clm)16000N2L,65,2^1.5,1^2.25,19Apr25,6f(C),(fillie)(Clm)30000,51,1,4^5.25,27Feb25,6f,3(older)(fillie)(Clm)20000(20-15)B,59,1,5^8.5,8Feb25,6f,(fillie)(Md)15000,48,2,1^4,10Jan25,5^0.50f(X),(fillie)Moc 50000(C),10,9,9^21,7Nov24,6f,(fillie)(Md)c-20000,34,4,3^5.75,19Oct24,6f,(fillie)Ë(Md)(Sp)(Wt)77k,40,4,8^17.25,,,,,,,,,,,,,,,,,,
